
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 5.3246038e+03; maximum gradient component mag -2.6596e+02
 16 -0.01061  3.49814e-01 | 17 -0.01065  3.53100e-01 | 18 -0.01067  3.56088e-01
 19 -0.01067  3.58774e-01 | 20 -0.01064  3.61172e-01 | 21 -0.01059  3.63320e-01
 22 -0.01050  3.65247e-01 | 23 -0.01039  3.66981e-01 | 24 -0.01025  3.68539e-01
 25 -0.01007  3.69922e-01 | 26 -0.00985  3.71121e-01 | 27 -0.00960  3.72111e-01
 28 -0.00930  3.72867e-01 | 29 -0.00896  3.73356e-01 | 30 -0.00858  3.73469e-01
 31 -0.00815  3.73238e-01 | 32 -0.00768  3.72507e-01 | 33 -0.00718  3.71080e-01
 34 -0.00664  3.68681e-01 | 35 -0.00607  3.64921e-01 | 36 -0.00549  3.59319e-01
 37 -0.00490  3.51331e-01 | 38 -0.00432  3.40332e-01 | 39 -0.00375  3.25684e-01
 40 -0.00322  3.06769e-01 | 41 -0.00274  2.83032e-01 | 42 -0.00232  2.54035e-01
 43 -0.00196  2.19519e-01 | 44 -0.00168  1.79254e-01 | 45 -0.00145  1.32937e-01
 46 -0.00127  8.01745e-02 | 47 -0.00112  2.05569e-02 | 48 -0.00097 -4.62213e-02
 49 -0.00080 -1.20252e-01 | 50 -0.00058 -2.01279e-01 | 51 -0.00027 -2.88545e-01
 52  0.00018 -3.80439e-01 | 53  0.00080 -4.74238e-01 | 54  0.00165 -5.65748e-01
 55  0.00279 -6.48608e-01 | 56  0.00430 -7.15226e-01 | 57  0.00625 -7.55508e-01
 58  0.00872 -7.59476e-01 | 59  0.01175 -7.21151e-01 | 60  0.01536 -6.45048e-01
 61  0.01942 -5.56385e-01 | 62  0.02360 -5.10597e-01 | 63  0.02733 -5.93910e-01
 64  0.02984 -8.99681e-01 | 65  0.03049 -1.47182e+00 | 66  0.02932 -2.23801e+00
 67  0.02722 -3.00462e+00 | 68  0.02544 -3.55059e+00 | 69  0.02478 -3.75333e+00
 70  0.02523 -3.63373e+00 | 71  0.02633 -3.28727e+00 | 72  0.02753 -2.81157e+00
 73  0.02842 -2.26555e+00 | 74  0.02850 -1.71209e+00 | 75  0.02703 -1.28372e+00
 76  0.02348 -1.13721e+00 | 77  0.01830 -1.31655e+00 | 78  0.01278 -1.71217e+00
 79  0.00809 -2.18385e+00 | 80  0.00466 -2.66096e+00 | 81  0.00234 -3.12133e+00
 82  0.00087 -3.52349e+00 | 83  0.00020 -3.84530e+00 | 84  0.00028 -4.20370e+00
 85  0.00094 -4.65564e+00 | 86  0.00239 -4.87270e+00 | 87  0.00419 -5.38438e+00
 88  0.00579 -6.15074e+00 | 89  0.00416 -7.77628e+00 | 90  0.00527 -8.03418e+00
 91  0.00306 -8.54717e+00 | 92 -0.00225 -9.45136e+00 | 93 -0.01034 -9.38425e+00
 94 -0.00329 -8.28015e+00 | 95  0.01681 -8.82813e+00 | 96  0.03556 -4.81968e+00
 97 -0.01193 -8.11261e+00 | 98 -0.00227 -9.50148e+00 | 99  0.10096 -6.11568e+00
100  0.00049 -9.40942e+00 |101 -0.01940 -3.26232e+00 |102  0.00272 -2.31065e+00
103 -0.00353 -7.15793e+00 |104  0.04099  2.34517e+00 |105  0.01008  9.09227e+00
106 -0.03235  2.02036e+01 |107 -0.04702  2.35121e+01 |108 -0.05926  1.68205e+01
109 -0.01917  1.82362e+01 |110  0.01360  1.54829e+01 |111  0.01864  1.40241e+01
112 -0.00078  1.18675e+01 |113 -0.00382  8.22545e+00 |114 -0.02117  2.95248e+00
115 -0.01274 -6.31976e-01 |116  0.01130 -3.27183e+00 |117  0.02047 -4.22053e+00
118  0.02723 -4.00814e+00 |119  0.02979 -3.23876e+00 |120  0.03104 -1.44427e+00
121  0.03598 -8.43654e-01 |122  0.01050  3.71111e-03 |123  0.00021  2.13209e-01
124 -0.01132  4.16447e-01 |125 -0.01320  3.99106e-01 |126 -0.01004  2.30241e-01
127 -0.01046  1.55992e-01 |128  0.00037 -1.50811e-02 |129  0.00705 -8.23490e-02
130 -0.00017 -9.38179e-04 |131 -0.00223  2.54587e-02 |132 -0.00057  6.28145e-03
133 -0.00000  5.86864e-06 |134  0.00000 -5.94795e-10 |135  0.28770  2.13005e+00
136  0.19711 -9.60213e+00 |

 - final statistics:
136 variables; iteration 29; function evaluation 43
Function value 5.3012e+03; maximum gradient component mag 7.4283e+00
Exit code = 1;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42516  3.91303e+00 |  2 -0.08756  8.64218e-01 |  3 -0.00915  1.57137e-01
  4 -0.00934  1.60937e-01 |  5 -0.00952  1.64693e-01 |  6 -0.00970  1.68383e-01
  7 -0.00988  1.71991e-01 |  8 -0.01005  1.75483e-01 |  9 -0.01021  1.78827e-01
 10 -0.01036  1.81993e-01 | 11 -0.01050  1.84950e-01 | 12 -0.01062  1.87668e-01
 13 -0.01074  1.90115e-01 | 14 -0.01084  1.92259e-01 | 15 -0.01092  1.94066e-01
 16 -0.01099  1.95495e-01 | 17 -0.01104  1.96502e-01 | 18 -0.01106  1.97036e-01
 19 -0.01106  1.97057e-01 | 20 -0.01104  1.96530e-01 | 21 -0.01100  1.95429e-01
 22 -0.01093  1.93722e-01 | 23 -0.01082  1.91373e-01 | 24 -0.01069  1.88340e-01
 25 -0.01053  1.84576e-01 | 26 -0.01033  1.80030e-01 | 27 -0.01010  1.74653e-01
 28 -0.00982  1.68404e-01 | 29 -0.00951  1.61241e-01 | 30 -0.00916  1.53091e-01
 31 -0.00876  1.43961e-01 | 32 -0.00833  1.33764e-01 | 33 -0.00786  1.22405e-01
 34 -0.00737  1.09775e-01 | 35 -0.00685  9.57448e-02 | 36 -0.00631  8.01946e-02
 37 -0.00577  6.30438e-02 | 38 -0.00523  4.42721e-02 | 39 -0.00470  2.39715e-02
 40 -0.00421  2.38301e-03 | 41 -0.00375 -2.00810e-02 | 42 -0.00334 -4.28594e-02
 43 -0.00298 -6.53366e-02 | 44 -0.00266 -8.69904e-02 | 45 -0.00238 -1.07475e-01
 46 -0.00213 -1.26593e-01 | 47 -0.00188 -1.44169e-01 | 48 -0.00161 -1.59918e-01
 49 -0.00128 -1.73516e-01 | 50 -0.00088 -1.84566e-01 | 51 -0.00036 -1.92772e-01
 52  0.00031 -1.98078e-01 | 53  0.00116 -2.01284e-01 | 54  0.00223 -2.04935e-01
 55  0.00351 -2.14524e-01 | 56  0.00500 -2.40793e-01 | 57  0.00665 -2.99439e-01
 58  0.00841 -4.08105e-01 | 59  0.01023 -5.73711e-01 | 60  0.01222 -7.66914e-01
 61  0.01474 -8.99031e-01 | 62  0.01834 -8.52628e-01 | 63  0.02296 -6.31970e-01
 64  0.02707 -5.17700e-01 | 65  0.02884 -7.97214e-01 | 66  0.02950 -1.17133e+00
 67  0.03199 -1.08342e+00 | 68  0.03548 -6.78004e-01 | 69  0.03667 -5.23495e-01
 70  0.03458 -7.95602e-01 | 71  0.03097 -1.22418e+00 | 72  0.02796 -1.45779e+00
 73  0.02613 -1.37440e+00 | 74  0.02423 -1.17275e+00 | 75  0.02028 -1.23421e+00
 76  0.01445 -1.59007e+00 | 77  0.00945 -1.78419e+00 | 78  0.00643 -1.65291e+00
 79  0.00455 -1.45188e+00 | 80  0.00318 -1.35750e+00 | 81  0.00214 -1.37360e+00
 82  0.00118 -1.46641e+00 | 83  0.00025 -1.61424e+00 | 84 -0.00000 -1.77181e+00
 85  0.00057 -1.92167e+00 | 86  0.00016 -2.18504e+00 | 87  0.00128 -2.40955e+00
 88  0.00347 -2.55421e+00 | 89  0.00680 -2.71034e+00 | 90  0.00623 -2.80456e+00
 91  0.00427 -2.90756e+00 | 92  0.00277 -2.85996e+00 | 93 -0.00379 -2.55052e+00
 94 -0.00007 -2.03231e+00 | 95  0.01778 -2.74239e+00 | 96  0.02165 -1.49091e+00
 97  0.00071  7.97121e-03 | 98  0.01533 -4.99713e-01 | 99  0.08810  2.03138e+00
100  0.02207  6.66604e-01 |101 -0.01659  1.45823e+00 |102 -0.00239  2.84006e-01
103  0.01273 -1.86227e-01 |104  0.04299  1.64023e+00 |105  0.01210  1.49186e+00
106 -0.04440  3.93965e+00 |107 -0.06109  5.10521e+00 |108 -0.06247  4.98278e+00
109 -0.02618  3.32324e+00 |110  0.01673  3.63892e+00 |111  0.01907  3.36845e+00
112 -0.00502  3.25320e+00 |113  0.00009  5.01740e+00 |114 -0.01766  2.49709e+00
115 -0.00903  9.76367e-01 |116  0.01748  8.67549e-01 |117  0.02747  1.16392e+00
118  0.03537  1.72442e+00 |119  0.03830  1.63372e+00 |120  0.03405  9.72806e-01
121  0.03878  2.55656e-01 |122  0.01049 -2.13558e-01 |123 -0.00003 -2.29962e-01
124 -0.01156  8.04869e-02 |125 -0.01333  2.24462e-01 |126 -0.01012  1.54085e-01
127 -0.01056  1.14147e-01 |128  0.00054  2.15316e-02 |129  0.00714 -6.53798e-02
130 -0.00011  1.23481e-02 |131 -0.00222  2.58999e-02 |132 -0.00056  6.88142e-03
133 -0.00000  6.60872e-06 |134  0.00000 -6.58014e-10 |135  0.27172  7.42832e+00
136  0.18436  5.35113e+00 |

Initial statistics: 146 variables; iteration 0; function evaluation 0; phase 2
Function value 5.3012133e+03; maximum gradient component mag 2.1643e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42516  3.91303e+00 |  2  0.37110  6.22277e+01 |  3 -0.12614  1.70738e+02
  4 -0.01321  2.16427e+02 |  5 -0.70915  3.37746e-01 |  6 -0.60419 -1.77424e+01
  7  0.37628  3.10326e+00 |  8 -0.18524  1.78961e+02 |  9  0.03399  1.29688e+02
 10 -0.60948 -3.78090e+01 | 11 -0.62338 -1.05331e+02 | 12 -0.08756  8.64218e-01
 13 -0.00915  1.57137e-01 | 14 -0.00934  1.60937e-01 | 15 -0.00952  1.64693e-01
 16 -0.00970  1.68383e-01 | 17 -0.00988  1.71991e-01 | 18 -0.01005  1.75483e-01
 19 -0.01021  1.78827e-01 | 20 -0.01036  1.81993e-01 | 21 -0.01050  1.84950e-01
 22 -0.01062  1.87668e-01 | 23 -0.01074  1.90115e-01 | 24 -0.01084  1.92259e-01
 25 -0.01092  1.94066e-01 | 26 -0.01099  1.95495e-01 | 27 -0.01104  1.96502e-01
 28 -0.01106  1.97036e-01 | 29 -0.01106  1.97057e-01 | 30 -0.01104  1.96530e-01
 31 -0.01100  1.95429e-01 | 32 -0.01093  1.93722e-01 | 33 -0.01082  1.91373e-01
 34 -0.01069  1.88340e-01 | 35 -0.01053  1.84576e-01 | 36 -0.01033  1.80030e-01
 37 -0.01010  1.74653e-01 | 38 -0.00982  1.68404e-01 | 39 -0.00951  1.61241e-01
 40 -0.00916  1.53091e-01 | 41 -0.00876  1.43961e-01 | 42 -0.00833  1.33764e-01
 43 -0.00786  1.22405e-01 | 44 -0.00737  1.09775e-01 | 45 -0.00685  9.57448e-02
 46 -0.00631  8.01946e-02 | 47 -0.00577  6.30438e-02 | 48 -0.00523  4.42721e-02
 49 -0.00470  2.39715e-02 | 50 -0.00421  2.38301e-03 | 51 -0.00375 -2.00810e-02
 52 -0.00334 -4.28594e-02 | 53 -0.00298 -6.53366e-02 | 54 -0.00266 -8.69904e-02
 55 -0.00238 -1.07475e-01 | 56 -0.00213 -1.26593e-01 | 57 -0.00188 -1.44169e-01
 58 -0.00161 -1.59918e-01 | 59 -0.00128 -1.73516e-01 | 60 -0.00088 -1.84566e-01
 61 -0.00036 -1.92772e-01 | 62  0.00031 -1.98078e-01 | 63  0.00116 -2.01284e-01
 64  0.00223 -2.04935e-01 | 65  0.00351 -2.14524e-01 | 66  0.00500 -2.40793e-01
 67  0.00665 -2.99439e-01 | 68  0.00841 -4.08105e-01 | 69  0.01023 -5.73711e-01
 70  0.01222 -7.66914e-01 | 71  0.01474 -8.99031e-01 | 72  0.01834 -8.52628e-01
 73  0.02296 -6.31970e-01 | 74  0.02707 -5.17700e-01 | 75  0.02884 -7.97214e-01
 76  0.02950 -1.17133e+00 | 77  0.03199 -1.08342e+00 | 78  0.03548 -6.78004e-01
 79  0.03667 -5.23495e-01 | 80  0.03458 -7.95602e-01 | 81  0.03097 -1.22418e+00
 82  0.02796 -1.45779e+00 | 83  0.02613 -1.37440e+00 | 84  0.02423 -1.17275e+00
 85  0.02028 -1.23421e+00 | 86  0.01445 -1.59007e+00 | 87  0.00945 -1.78419e+00
 88  0.00643 -1.65291e+00 | 89  0.00455 -1.45188e+00 | 90  0.00318 -1.35750e+00
 91  0.00214 -1.37360e+00 | 92  0.00118 -1.46641e+00 | 93  0.00025 -1.61424e+00
 94 -0.00000 -1.77181e+00 | 95  0.00057 -1.92167e+00 | 96  0.00016 -2.18504e+00
 97  0.00128 -2.40955e+00 | 98  0.00347 -2.55421e+00 | 99  0.00680 -2.71034e+00
100  0.00623 -2.80456e+00 |101  0.00427 -2.90756e+00 |102  0.00277 -2.85996e+00
103 -0.00379 -2.55052e+00 |104 -0.00007 -2.03231e+00 |105  0.01778 -2.74239e+00
106  0.02165 -1.49091e+00 |107  0.00071  7.97121e-03 |108  0.01533 -4.99713e-01
109  0.08810  2.03138e+00 |110  0.02207  6.66604e-01 |111 -0.01659  1.45823e+00
112 -0.00239  2.84006e-01 |113  0.01273 -1.86227e-01 |114  0.04299  1.64023e+00
115  0.01210  1.49186e+00 |116 -0.04440  3.93965e+00 |117 -0.06109  5.10521e+00
118 -0.06247  4.98278e+00 |119 -0.02618  3.32324e+00 |120  0.01673  3.63892e+00
121  0.01907  3.36845e+00 |122 -0.00502  3.25320e+00 |123  0.00009  5.01740e+00
124 -0.01766  2.49709e+00 |125 -0.00903  9.76367e-01 |126  0.01748  8.67549e-01
127  0.02747  1.16392e+00 |128  0.03537  1.72442e+00 |129  0.03830  1.63372e+00
130  0.03405  9.72806e-01 |131  0.03878  2.55656e-01 |132  0.01049 -2.13558e-01
133 -0.00003 -2.29962e-01 |134 -0.01156  8.04869e-02 |135 -0.01333  2.24462e-01
136 -0.01012  1.54085e-01 |137 -0.01056  1.14147e-01 |138  0.00054  2.15316e-02
139  0.00714 -6.53798e-02 |140 -0.00011  1.23481e-02 |141 -0.00222  2.58999e-02
142 -0.00056  6.88142e-03 |143 -0.00000  6.60872e-06 |144  0.00000 -6.58014e-10
145  0.27172  7.42832e+00 |146  0.18436  5.35113e+00 |

Intermediate statistics: 146 variables; iteration 20; function evaluation 25; phase 2
Function value 5.2862180e+03; maximum gradient component mag 1.3477e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42326  8.38008e+01 |  2  0.48847 -1.93758e+01 |  3 -0.10064 -3.43663e+01
  4 -0.12479 -6.34047e+00 |  5 -0.66907 -2.68228e+00 |  6 -0.60120 -1.16268e+01
  7  0.45122 -2.31101e+00 |  8 -0.17633 -9.98639e-01 |  9 -0.04544  2.91743e+01
 10 -0.52758 -2.10089e+00 | 11 -0.61961  1.34769e+02 | 12 -0.07260 -7.94806e+01
 13 -0.00950 -3.08382e-01 | 14 -0.00970 -3.16799e-01 | 15 -0.00989 -3.25462e-01
 16 -0.01008 -3.34384e-01 | 17 -0.01027 -3.43580e-01 | 18 -0.01044 -3.53062e-01
 19 -0.01061 -3.62843e-01 | 20 -0.01077 -3.72937e-01 | 21 -0.01092 -3.83362e-01
 22 -0.01105 -3.94134e-01 | 23 -0.01118 -4.05275e-01 | 24 -0.01128 -4.16808e-01
 25 -0.01137 -4.28764e-01 | 26 -0.01145 -4.41177e-01 | 27 -0.01150 -4.54081e-01
 28 -0.01153 -4.67497e-01 | 29 -0.01154 -4.81429e-01 | 30 -0.01152 -4.95884e-01
 31 -0.01148 -5.10900e-01 | 32 -0.01140 -5.26539e-01 | 33 -0.01130 -5.42872e-01
 34 -0.01117 -5.59968e-01 | 35 -0.01101 -5.77887e-01 | 36 -0.01080 -5.96665e-01
 37 -0.01056 -6.16309e-01 | 38 -0.01028 -6.36808e-01 | 39 -0.00996 -6.58145e-01
 40 -0.00959 -6.80288e-01 | 41 -0.00919 -7.03344e-01 | 42 -0.00874 -7.27378e-01
 43 -0.00825 -7.52505e-01 | 44 -0.00773 -7.78838e-01 | 45 -0.00719 -8.06459e-01
 46 -0.00662 -8.35446e-01 | 47 -0.00605 -8.65906e-01 | 48 -0.00547 -8.97942e-01
 49 -0.00492 -9.31652e-01 | 50 -0.00439 -9.67061e-01 | 51 -0.00390 -1.00401e+00
 52 -0.00345 -1.04216e+00 | 53 -0.00306 -1.08124e+00 | 54 -0.00271 -1.12119e+00
 55 -0.00241 -1.16227e+00 | 56 -0.00214 -1.20503e+00 | 57 -0.00189 -1.25004e+00
 58 -0.00164 -1.29764e+00 | 59 -0.00134 -1.34839e+00 | 60 -0.00099 -1.40277e+00
