
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 7.3782814e+03; maximum gradient component mag -3.1050e+02
 16 -0.00963  5.63012e-01 | 17 -0.00953  6.10289e-01 | 18 -0.00941  6.60906e-01
 19 -0.00924  7.14908e-01 | 20 -0.00905  7.72289e-01 | 21 -0.00882  8.33122e-01
 22 -0.00855  8.97499e-01 | 23 -0.00824  9.65549e-01 | 24 -0.00789  1.03739e+00
 25 -0.00749  1.11307e+00 | 26 -0.00705  1.19252e+00 | 27 -0.00656  1.27549e+00
 28 -0.00602  1.36150e+00 | 29 -0.00543  1.44985e+00 | 30 -0.00479  1.53930e+00
 31 -0.00411  1.62920e+00 | 32 -0.00339  1.71795e+00 | 33 -0.00264  1.80378e+00
 34 -0.00187  1.88437e+00 | 35 -0.00110  1.95668e+00 | 36 -0.00035  2.01693e+00
 37  0.00037  2.06088e+00 | 38  0.00103  2.08366e+00 | 39  0.00159  2.08016e+00
 40  0.00204  2.04524e+00 | 41  0.00233  1.97374e+00 | 42  0.00245  1.86079e+00
 43  0.00237  1.70261e+00 | 44  0.00208  1.49646e+00 | 45  0.00159  1.24094e+00
 46  0.00092  9.36410e-01 | 47  0.00010  5.84711e-01 | 48 -0.00084  1.89199e-01
 49 -0.00184 -2.44321e-01 | 50 -0.00284 -7.07315e-01 | 51 -0.00376 -1.18774e+00
 52 -0.00451 -1.66907e+00 | 53 -0.00496 -2.12980e+00 | 54 -0.00497 -2.54317e+00
 55 -0.00435 -2.87664e+00 | 56 -0.00292 -3.09723e+00 | 57 -0.00044 -3.17035e+00
 58  0.00328 -3.07222e+00 | 59  0.00837 -2.80322e+00 | 60  0.01476 -2.40660e+00
 61  0.02209 -1.98738e+00 | 62  0.02953 -1.71920e+00 | 63  0.03567 -1.81710e+00
 64  0.03876 -2.46928e+00 | 65  0.03735 -3.74307e+00 | 66  0.03150 -5.50334e+00
 67  0.02339 -7.40134e+00 | 68  0.01621 -8.99447e+00 | 69  0.01187 -1.00250e+01
 70  0.01008 -1.05590e+01 | 71  0.00997 -1.07419e+01 | 72  0.01136 -1.06077e+01
 73  0.01513 -1.00255e+01 | 74  0.02232 -8.83597e+00 | 75  0.03163 -7.21222e+00
 76  0.03828 -5.76616e+00 | 77  0.03800 -5.10607e+00 | 78  0.03111 -5.43468e+00
 79  0.02098 -6.55445e+00 | 80  0.01050 -8.09967e+00 | 81  0.00126 -9.72571e+00
 82 -0.00550 -1.10681e+01 | 83 -0.00884 -1.18874e+01 | 84 -0.00965 -1.24157e+01
 85 -0.00833 -1.27238e+01 | 86 -0.00065 -1.18810e+01 | 87  0.00616 -1.15449e+01
 88  0.01161 -1.16394e+01 | 89  0.00678 -1.33286e+01 | 90  0.01574 -1.24023e+01
 91  0.01853 -1.18967e+01 | 92  0.00954 -1.27618e+01 | 93 -0.00493 -1.31810e+01
 94  0.00144 -1.25567e+01 | 95  0.00825 -1.54523e+01 | 96  0.04078 -1.07747e+01
 97 -0.04102 -1.84193e+01 | 98 -0.03008 -1.82234e+01 | 99  0.11757 -1.24966e+01
100 -0.01470 -1.59021e+01 |101 -0.03971 -1.16985e+01 |102  0.01508 -5.95944e-01
103 -0.01170 -5.29268e+00 |104  0.05182  1.79070e+01 |105 -0.03307  8.12947e+00
106 -0.01757  5.84160e+01 |107 -0.02783  7.01995e+01 |108 -0.03500  5.71690e+01
109 -0.03790  1.89150e+01 |110  0.04872  9.06047e+00 |111  0.02101  1.06055e+01
112  0.00508  1.01512e+01 |113 -0.01746  1.71344e+01 |114 -0.05343  1.47548e+01
115 -0.00735  1.13196e+01 |116  0.00743  1.02357e+01 |117 -0.02677  4.03390e+00
118  0.01156 -3.34218e+00 |119  0.07902 -2.88521e+00 |120 -0.03775 -1.60282e+01
121  0.08133 -7.25437e+00 |122 -0.01933 -1.03420e+01 |123  0.11891 -1.08633e+01
124 -0.01027 -1.28074e+00 |125 -0.04571  1.29694e+00 |126 -0.05411  1.67689e+00
127 -0.02318  1.94206e-01 |128  0.09104 -3.72135e-01 |129  0.03016 -8.41486e-02
130  0.01660  4.18123e-01 |131 -0.02865  6.89291e-02 |132 -0.02275 -1.37128e+00
133 -0.00907 -7.68199e-01 |134 -0.00057 -3.78096e-02 |135  0.29435 -1.02924e+01
136  0.20007 -3.38433e+01 |

 - final statistics:
136 variables; iteration 40; function evaluation 54
Function value 7.3337e+03; maximum gradient component mag 5.0629e+00
Exit code = 1;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42371  3.82894e-01 |  2 -0.09479  4.86840e+00 |  3 -0.00978 -9.36756e-02
  4 -0.01000 -9.70312e-02 |  5 -0.01021 -1.00278e-01 |  6 -0.01041 -1.03391e-01
  7 -0.01061 -1.06344e-01 |  8 -0.01080 -1.09111e-01 |  9 -0.01099 -1.11665e-01
 10 -0.01116 -1.13983e-01 | 11 -0.01132 -1.16041e-01 | 12 -0.01147 -1.17818e-01
 13 -0.01161 -1.19295e-01 | 14 -0.01173 -1.20452e-01 | 15 -0.01184 -1.21274e-01
 16 -0.01192 -1.21746e-01 | 17 -0.01199 -1.21855e-01 | 18 -0.01203 -1.21582e-01
 19 -0.01206 -1.20896e-01 | 20 -0.01205 -1.19749e-01 | 21 -0.01202 -1.18091e-01
 22 -0.01197 -1.15867e-01 | 23 -0.01188 -1.13031e-01 | 24 -0.01177 -1.09544e-01
 25 -0.01162 -1.05386e-01 | 26 -0.01144 -1.00562e-01 | 27 -0.01122 -9.51117e-02
 28 -0.01096 -8.91080e-02 | 29 -0.01066 -8.26678e-02 | 30 -0.01032 -7.59629e-02
 31 -0.00995 -6.91924e-02 | 32 -0.00954 -6.26162e-02 | 33 -0.00910 -5.65167e-02
 34 -0.00863 -5.11466e-02 | 35 -0.00815 -4.66566e-02 | 36 -0.00765 -4.30091e-02
 37 -0.00714 -3.99255e-02 | 38 -0.00664 -3.68937e-02 | 39 -0.00615 -3.32382e-02
 40 -0.00568 -2.82432e-02 | 41 -0.00523 -2.12621e-02 | 42 -0.00482 -1.17889e-02
 43 -0.00445  5.01425e-04 | 44 -0.00412  1.56982e-02 | 45 -0.00381  3.36095e-02
 46 -0.00352  5.37518e-02 | 47 -0.00323  7.53742e-02 | 48 -0.00291  9.73604e-02
 49 -0.00254  1.17978e-01 | 50 -0.00211  1.34356e-01 | 51 -0.00160  1.41791e-01
 52 -0.00100  1.32909e-01 | 53 -0.00033  9.74541e-02 | 54  0.00040  2.37389e-02
 55  0.00119 -9.57392e-02 | 56  0.00208 -2.53885e-01 | 57  0.00325 -4.12340e-01
 58  0.00504 -4.92792e-01 | 59  0.00788 -4.03758e-01 | 60  0.01181 -1.44247e-01
 61  0.01565  2.46319e-02 | 62  0.01707 -3.70443e-01 | 63  0.01672 -1.12679e+00
 64  0.02117 -8.75377e-01 | 65  0.02654 -4.18720e-01 | 66  0.03054 -1.60118e-01
 67  0.03279 -1.12979e-01 | 68  0.03420 -8.10909e-02 | 69  0.03483 -4.48339e-02
 70  0.03476 -7.83030e-03 | 71  0.03399  1.27182e-02 | 72  0.03312  1.14133e-01
 73  0.03158  2.02403e-01 | 74  0.02821  7.24542e-02 | 75  0.02710  5.22175e-01
 76  0.02091  7.29008e-02 | 77  0.01351 -6.46902e-01 | 78  0.00801 -1.07486e+00
 79  0.00991 -2.01344e-02 | 80  0.00902  2.14134e-01 | 81  0.00692 -5.45302e-03
 82  0.00485 -3.03501e-01 | 83  0.00321 -5.57892e-01 | 84  0.00265 -7.23909e-01
 85  0.00327 -8.01521e-01 | 86  0.00320 -9.55147e-01 | 87  0.00427 -1.19192e+00
 88  0.00700 -1.26144e+00 | 89  0.01157 -1.24421e+00 | 90  0.01116 -1.43039e+00
 91  0.00899 -1.67586e+00 | 92  0.00774 -1.58191e+00 | 93  0.00026 -1.34705e+00
 94  0.00262 -8.65322e-01 | 95  0.02628 -1.05809e-01 | 96  0.01387 -2.58827e+00
 97 -0.00844 -2.05810e+00 | 98  0.00579 -2.20898e+00 | 99  0.08883  2.63815e+00
100  0.02245  4.25180e-01 |101 -0.01783  4.63374e-01 |102  0.00186  1.21108e+00
103  0.01637  1.82100e+00 |104  0.03646  3.36191e+00 |105 -0.00008  3.31510e+00
106 -0.06159  4.20005e+00 |107 -0.07632  5.06289e+00 |108 -0.07671  3.60352e+00
109 -0.03801  1.56290e+00 |110  0.06701  3.40514e+00 |111  0.02331  2.03353e+00
112  0.00852 -1.46067e+00 |113 -0.03074 -1.10833e+00 |114 -0.07073 -1.72211e+00
115 -0.01416 -3.78155e+00 |116  0.00164 -1.83127e+00 |117 -0.02772 -2.58379e-01
118  0.02487 -8.30167e-01 |119  0.07029 -1.94905e-01 |120  0.01141  9.51244e-01
121  0.07929  2.10632e-01 |122  0.00799  1.65514e+00 |123  0.13201  1.40817e+00
124  0.00146  3.70668e+00 |125 -0.04520  6.59119e-01 |126 -0.05772 -2.61149e-01
127 -0.02108  4.18605e-01 |128  0.09604  1.24685e+00 |129  0.03190  2.09425e-01
130  0.01185 -1.79499e+00 |131 -0.02737  3.00083e-01 |132 -0.01763  5.22957e-03
133 -0.00521  1.79588e-01 |134 -0.00037  8.74684e-03 |135  0.28338  4.96708e+00
136  0.19299  4.74875e+00 |

Initial statistics: 146 variables; iteration 0; function evaluation 0; phase 2
Function value 7.3336857e+03; maximum gradient component mag 1.0251e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42371  3.82894e-01 |  2  0.37110  3.32182e+00 |  3 -0.12614  7.66960e+00
  4 -0.01321  4.67471e+00 |  5 -0.70915 -4.03776e-01 |  6 -0.60419 -2.96564e+00
  7  0.37628  7.78483e+00 |  8 -0.18524  1.02509e+01 |  9  0.03399  6.42416e+00
 10 -0.60948  3.23891e-01 | 11 -0.62338  5.60058e+00 | 12 -0.09479  4.86840e+00
 13 -0.00978 -9.36756e-02 | 14 -0.01000 -9.70312e-02 | 15 -0.01021 -1.00278e-01
 16 -0.01041 -1.03391e-01 | 17 -0.01061 -1.06344e-01 | 18 -0.01080 -1.09111e-01
 19 -0.01099 -1.11665e-01 | 20 -0.01116 -1.13983e-01 | 21 -0.01132 -1.16041e-01
 22 -0.01147 -1.17818e-01 | 23 -0.01161 -1.19295e-01 | 24 -0.01173 -1.20452e-01
 25 -0.01184 -1.21274e-01 | 26 -0.01192 -1.21746e-01 | 27 -0.01199 -1.21855e-01
 28 -0.01203 -1.21582e-01 | 29 -0.01206 -1.20896e-01 | 30 -0.01205 -1.19749e-01
 31 -0.01202 -1.18091e-01 | 32 -0.01197 -1.15867e-01 | 33 -0.01188 -1.13031e-01
 34 -0.01177 -1.09544e-01 | 35 -0.01162 -1.05386e-01 | 36 -0.01144 -1.00562e-01
 37 -0.01122 -9.51117e-02 | 38 -0.01096 -8.91080e-02 | 39 -0.01066 -8.26678e-02
 40 -0.01032 -7.59629e-02 | 41 -0.00995 -6.91924e-02 | 42 -0.00954 -6.26162e-02
 43 -0.00910 -5.65167e-02 | 44 -0.00863 -5.11466e-02 | 45 -0.00815 -4.66566e-02
 46 -0.00765 -4.30091e-02 | 47 -0.00714 -3.99255e-02 | 48 -0.00664 -3.68937e-02
 49 -0.00615 -3.32382e-02 | 50 -0.00568 -2.82432e-02 | 51 -0.00523 -2.12621e-02
 52 -0.00482 -1.17889e-02 | 53 -0.00445  5.01425e-04 | 54 -0.00412  1.56982e-02
 55 -0.00381  3.36095e-02 | 56 -0.00352  5.37518e-02 | 57 -0.00323  7.53742e-02
 58 -0.00291  9.73604e-02 | 59 -0.00254  1.17978e-01 | 60 -0.00211  1.34356e-01
 61 -0.00160  1.41791e-01 | 62 -0.00100  1.32909e-01 | 63 -0.00033  9.74541e-02
 64  0.00040  2.37389e-02 | 65  0.00119 -9.57392e-02 | 66  0.00208 -2.53885e-01
 67  0.00325 -4.12340e-01 | 68  0.00504 -4.92792e-01 | 69  0.00788 -4.03758e-01
 70  0.01181 -1.44247e-01 | 71  0.01565  2.46319e-02 | 72  0.01707 -3.70443e-01
 73  0.01672 -1.12679e+00 | 74  0.02117 -8.75377e-01 | 75  0.02654 -4.18720e-01
 76  0.03054 -1.60118e-01 | 77  0.03279 -1.12979e-01 | 78  0.03420 -8.10909e-02
 79  0.03483 -4.48339e-02 | 80  0.03476 -7.83030e-03 | 81  0.03399  1.27182e-02
 82  0.03312  1.14133e-01 | 83  0.03158  2.02403e-01 | 84  0.02821  7.24542e-02
 85  0.02710  5.22175e-01 | 86  0.02091  7.29008e-02 | 87  0.01351 -6.46902e-01
 88  0.00801 -1.07486e+00 | 89  0.00991 -2.01344e-02 | 90  0.00902  2.14134e-01
 91  0.00692 -5.45302e-03 | 92  0.00485 -3.03501e-01 | 93  0.00321 -5.57892e-01
 94  0.00265 -7.23909e-01 | 95  0.00327 -8.01521e-01 | 96  0.00320 -9.55147e-01
 97  0.00427 -1.19192e+00 | 98  0.00700 -1.26144e+00 | 99  0.01157 -1.24421e+00
100  0.01116 -1.43039e+00 |101  0.00899 -1.67586e+00 |102  0.00774 -1.58191e+00
103  0.00026 -1.34705e+00 |104  0.00262 -8.65322e-01 |105  0.02628 -1.05809e-01
106  0.01387 -2.58827e+00 |107 -0.00844 -2.05810e+00 |108  0.00579 -2.20898e+00
109  0.08883  2.63815e+00 |110  0.02245  4.25180e-01 |111 -0.01783  4.63374e-01
112  0.00186  1.21108e+00 |113  0.01637  1.82100e+00 |114  0.03646  3.36191e+00
115 -0.00008  3.31510e+00 |116 -0.06159  4.20005e+00 |117 -0.07632  5.06289e+00
118 -0.07671  3.60352e+00 |119 -0.03801  1.56290e+00 |120  0.06701  3.40514e+00
121  0.02331  2.03353e+00 |122  0.00852 -1.46067e+00 |123 -0.03074 -1.10833e+00
124 -0.07073 -1.72211e+00 |125 -0.01416 -3.78155e+00 |126  0.00164 -1.83127e+00
127 -0.02772 -2.58379e-01 |128  0.02487 -8.30167e-01 |129  0.07029 -1.94905e-01
130  0.01141  9.51244e-01 |131  0.07929  2.10632e-01 |132  0.00799  1.65514e+00
133  0.13201  1.40817e+00 |134  0.00146  3.70668e+00 |135 -0.04520  6.59119e-01
136 -0.05772 -2.61149e-01 |137 -0.02108  4.18605e-01 |138  0.09604  1.24685e+00
139  0.03190  2.09425e-01 |140  0.01185 -1.79499e+00 |141 -0.02737  3.00083e-01
