
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 7.2548272e+03; maximum gradient component mag 6.0819e+01
 13 -0.01167  9.02196e-02 | 14 -0.01178  9.70241e-02 | 15 -0.01188  1.03356e-01
 16 -0.01196  1.09126e-01 | 17 -0.01202  1.14267e-01 | 18 -0.01207  1.18674e-01
 19 -0.01209  1.22282e-01 | 20 -0.01210  1.24933e-01 | 21 -0.01208  1.26518e-01
 22 -0.01204  1.26926e-01 | 23 -0.01198  1.26017e-01 | 24 -0.01190  1.23694e-01
 25 -0.01178  1.19901e-01 | 26 -0.01164  1.14516e-01 | 27 -0.01147  1.07522e-01
 28 -0.01127  9.88583e-02 | 29 -0.01103  8.84989e-02 | 30 -0.01076  7.64301e-02
 31 -0.01046  6.26334e-02 | 32 -0.01012  4.71867e-02 | 33 -0.00976  3.01215e-02
 34 -0.00937  1.15958e-02 | 35 -0.00896 -8.21766e-03 | 36 -0.00853 -2.92032e-02
 37 -0.00810 -5.11244e-02 | 38 -0.00767 -7.38464e-02 | 39 -0.00726 -9.71176e-02
 40 -0.00687 -1.20724e-01 | 41 -0.00651 -1.44441e-01 | 42 -0.00620 -1.67905e-01
 43 -0.00593 -1.90935e-01 | 44 -0.00571 -2.13321e-01 | 45 -0.00551 -2.34523e-01
 46 -0.00534 -2.53931e-01 | 47 -0.00516 -2.71147e-01 | 48 -0.00495 -2.85280e-01
 49 -0.00467 -2.95415e-01 | 50 -0.00430 -3.01068e-01 | 51 -0.00380 -3.01970e-01
 52 -0.00315 -2.97377e-01 | 53 -0.00229 -2.87927e-01 | 54 -0.00121 -2.74134e-01
 55  0.00012 -2.57198e-01 | 56  0.00173 -2.38977e-01 | 57  0.00363 -2.21450e-01
 58  0.00583 -2.07214e-01 | 59  0.00834 -1.98259e-01 | 60  0.01113 -1.95936e-01
 61  0.01417 -2.00995e-01 | 62  0.01740 -2.12787e-01 | 63  0.02074 -2.27860e-01
 64  0.02406 -2.41554e-01 | 65  0.02720 -2.48513e-01 | 66  0.02998 -2.41813e-01
 67  0.03222 -2.19185e-01 | 68  0.03378 -1.83316e-01 | 69  0.03463 -1.36806e-01
 70  0.03480 -8.58714e-02 | 71  0.03438 -3.29188e-02 | 72  0.03339  1.70554e-02
 73  0.03176  5.91550e-02 | 74  0.02934  8.57701e-02 | 75  0.02606  8.81227e-02
 76  0.02208  6.14249e-02 | 77  0.01783  9.67903e-03 | 78  0.01389 -5.26562e-02
 79  0.01077 -1.10797e-01 | 80  0.00861 -1.56099e-01 | 81  0.00720 -1.84537e-01
 82  0.00615 -1.93033e-01 | 83  0.00532 -1.74819e-01 | 84  0.00522 -1.24974e-01
 85  0.00592 -4.34055e-02 | 86  0.00624  7.12274e-02 | 87  0.00804  2.16888e-01
 88  0.01081  4.02528e-01 | 89  0.01526  6.77294e-01 | 90  0.01623  1.04450e+00
 91  0.01576  1.39432e+00 | 92  0.01438  1.62763e+00 | 93  0.00509  1.45252e+00
 94  0.00505  1.41151e+00 | 95  0.02303  1.52924e+00 | 96  0.02021  1.49067e+00
 97 -0.00410  1.36628e+00 | 98  0.01355  1.76062e+00 | 99  0.07939  3.13826e+00
