
Initial statistics: 134 variables; iteration 0; function evaluation 0; phase 1
Function value 7.3057088e+03; maximum gradient component mag -1.3091e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
 40 -0.00266  2.08613e+00 | 41 -0.00224  2.12263e+00 | 42 -0.00187  2.15493e+00
 43 -0.00155  2.18234e+00 | 44 -0.00129  2.20425e+00 | 45 -0.00106  2.22032e+00
 46 -0.00086  2.23030e+00 | 47 -0.00065  2.23398e+00 | 48 -0.00041  2.23128e+00
 49 -0.00012  2.22194e+00 | 50  0.00027  2.20596e+00 | 51  0.00080  2.18332e+00
 52  0.00149  2.15448e+00 | 53  0.00241  2.11987e+00 | 54  0.00358  2.07988e+00
 55  0.00506  2.03550e+00 | 56  0.00688  1.98540e+00 | 57  0.00908  1.92943e+00
 58  0.01168  1.86519e+00 | 59  0.01469  1.78573e+00 | 60  0.01806  1.67749e+00
 61  0.02166  1.51539e+00 | 62  0.02526  1.26030e+00 | 63  0.02844  8.59448e-01
 64  0.03069  2.59402e-01 | 65  0.03152 -5.63461e-01 | 66  0.03078 -1.56323e+00
 67  0.02889 -2.61289e+00 | 68  0.02673 -3.54398e+00 | 69  0.02509 -4.22916e+00
 70  0.02423 -4.64744e+00 | 71  0.02397 -4.84035e+00 | 72  0.02410 -4.84293e+00
 73  0.02457 -4.63926e+00 | 74  0.02529 -4.20765e+00 | 75  0.02567 -3.60996e+00
 76  0.02484 -3.00435e+00 | 77  0.02237 -2.55655e+00 | 78  0.01876 -2.33402e+00
 79  0.01493 -2.31087e+00 | 80  0.01170 -2.40913e+00 | 81  0.00947 -2.54967e+00
 82  0.00838 -2.65095e+00 | 83  0.00849 -2.65890e+00 | 84  0.00974 -2.59288e+00
 85  0.01185 -2.56191e+00 | 86  0.01422 -2.71184e+00 | 87  0.01611 -3.08209e+00
 88  0.01754 -3.48734e+00 | 89  0.01863 -3.85468e+00 | 90  0.01799 -4.61924e+00
 91  0.01479 -6.04923e+00 | 92  0.00945 -7.98872e+00 | 93  0.00315 -1.02116e+01
 94  0.00670 -1.11447e+01 | 95  0.01420 -1.15486e+01 | 96  0.03127 -1.01962e+01
 97 -0.03291 -1.91239e+01 | 98  0.05393 -1.04247e+01 | 99  0.02017 -1.54609e+01
100 -0.01803 -2.04498e+01 |101 -0.00093 -1.78751e+01 |102  0.01496 -1.22122e+01
103  0.02625 -3.37288e+00 |104  0.01388  7.32536e-01 |105 -0.02025  4.09822e+00
106 -0.04619  1.54253e+01 |107 -0.05673  2.16036e+01 |108 -0.05945  1.94429e+01
109 -0.04382  1.50802e+01 |110  0.05518  2.43438e+01 |111  0.00924  1.26822e+01
