
Initial statistics: 108 variables; iteration 0; function evaluation 0; phase 1
Function value 7.3786824e+03; maximum gradient component mag -2.5954e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
 64  0.01110 -9.10339e+00 | 65  0.00639 -7.55170e+00 | 66  0.00671 -7.26605e+00
 67  0.02748 -8.18490e+00 | 68  0.01913 -9.09286e+00 | 69 -0.00771 -8.42773e+00
 70 -0.00914 -1.22526e+01 | 71  0.10237 -1.14466e+01 | 72 -0.00251 -1.35876e+01
 73 -0.01786 -6.34490e+00 | 74  0.00160 -4.92445e+00 | 75  0.01655 -2.44695e+00
 76  0.02706  1.53975e+00 | 77  0.00019  1.30952e+01 | 78 -0.03680  3.23563e+01
 79 -0.04927  3.84495e+01 | 80 -0.05305  3.28865e+01 | 81 -0.02996  1.94154e+01
 82  0.06201  1.95187e+01 | 83  0.03126  1.55607e+01 | 84  0.00770  3.91541e+00
 85 -0.03576 -1.31933e+00 | 86 -0.07573 -2.58460e+00 | 87 -0.01142 -1.29998e+00
 88  0.00054  9.74346e-02 | 89 -0.02274  3.57022e+00 | 90  0.03371  4.99703e+00
 91  0.06443  1.80279e+00 | 92  0.02730  7.39626e+00 | 93  0.07315 -7.60977e-01
 94  0.01776  5.73659e+00 | 95  0.13353  3.10823e+00 | 96 -0.00467  7.73603e-01
 97 -0.04447  1.18046e+00 | 98 -0.05160  2.33022e+00 | 99 -0.01834  1.26362e+00
100  0.07623 -7.78731e+00 |101  0.02793 -1.78114e+00 |102  0.01263 -1.08452e+00
103 -0.02296  1.83751e+00 |104 -0.01379  1.08999e+00 |105 -0.00430  3.94590e-01
106 -0.00030  2.75442e-02 |107  0.30132  2.16654e+01 |108  0.20527  7.05292e+00

 - final statistics:
108 variables; iteration 33; function evaluation 49
Function value 7.3348e+03; maximum gradient component mag 9.2840e+00
Exit code = 1;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42301 -7.09361e+00 |  2 -0.08946  6.02617e+00 |  3 -0.01211  2.15946e-01
  4 -0.01184  1.83903e-01 |  5 -0.01153  1.50483e-01 |  6 -0.01119  1.16257e-01
  7 -0.01081  8.18998e-02 |  8 -0.01040  4.81422e-02 |  9 -0.00997  1.56942e-02
 10 -0.00953 -1.48376e-02 | 11 -0.00907 -4.29910e-02 | 12 -0.00862 -6.84605e-02
 13 -0.00818 -9.11004e-02 | 14 -0.00776 -1.10950e-01 | 15 -0.00738 -1.28255e-01
 16 -0.00702 -1.43462e-01 | 17 -0.00669 -1.57148e-01 | 18 -0.00638 -1.69922e-01
 19 -0.00606 -1.82460e-01 | 20 -0.00573 -1.95649e-01 | 21 -0.00536 -2.10680e-01
 22 -0.00493 -2.29129e-01 | 23 -0.00442 -2.52793e-01 | 24 -0.00381 -2.83284e-01
 25 -0.00307 -3.20981e-01 | 26 -0.00215 -3.63325e-01 | 27 -0.00099 -4.02504e-01
 28  0.00048 -4.23826e-01 | 29  0.00240 -4.06153e-01 | 30  0.00486 -3.29412e-01
 31  0.00790 -1.91212e-01 | 32  0.01137 -2.75073e-02 | 33  0.01491  8.43547e-02
 34  0.01809  7.18983e-02 | 35  0.02088 -4.21158e-02 | 36  0.02384 -1.08022e-01
 37  0.02747  6.76362e-03 | 38  0.03126  2.29474e-01 | 39  0.03383  3.36934e-01
 40  0.03453  2.39975e-01 | 41  0.03418  9.58722e-02 | 42  0.03349  1.44902e-02
 43  0.03256 -9.54888e-03 | 44  0.03158  4.86683e-02 | 45  0.03065  2.18224e-01
 46  0.02890  3.58085e-01 | 47  0.02500  2.10185e-01 | 48  0.02012 -4.93995e-02
 49  0.01651 -3.28631e-02 | 50  0.01399  1.34998e-01 | 51  0.01152  1.29625e-01
 52  0.00911 -9.48279e-02 | 53  0.00710 -4.18472e-01 | 54  0.00557 -7.35986e-01
 55  0.00464 -9.91261e-01 | 56  0.00481 -1.18659e+00 | 57  0.00607 -1.36188e+00
 58  0.00698 -1.57845e+00 | 59  0.00868 -2.02984e+00 | 60  0.01102 -2.63152e+00
 61  0.01319 -3.64873e+00 | 62  0.01251 -4.39959e+00 | 63  0.00939 -5.30197e+00
 64  0.00603 -6.06013e+00 | 65 -0.00356 -6.38623e+00 | 66  0.00091 -5.66000e+00
 67  0.02375 -5.38815e+00 | 68  0.02746 -3.58503e+00 | 69 -0.00441 -3.93539e+00
 70  0.00494 -5.26249e+00 | 71  0.09900 -1.15752e+00 | 72  0.01715 -4.13870e+00
 73 -0.01513 -1.32620e+00 | 74  0.00806  9.05205e-01 | 75  0.01758  1.64855e+00
 76  0.04325  7.40515e+00 | 77  0.00980  9.28396e+00 | 78 -0.06028  5.19829e+00
 79 -0.07209  7.06429e+00 | 80 -0.06898  7.78130e+00 | 81 -0.02562  7.39634e+00
 82  0.06660  3.05437e+00 | 83  0.03262  5.72858e+00 | 84  0.01753  2.09220e+00
 85 -0.03351 -3.80870e+00 | 86 -0.07212 -3.17480e+00 | 87 -0.00195 -3.30542e-01
 88  0.00451 -1.54628e+00 | 89 -0.02381  7.57238e-02 | 90  0.03181 -2.98150e-01
 91  0.07406 -2.43535e+00 | 92  0.00454 -2.92340e+00 | 93  0.08809  1.94814e+00
 94  0.00919  1.66818e+00 | 95  0.13591  1.68279e+00 | 96 -0.00489 -1.13786e-01
 97 -0.04860 -1.05507e+00 | 98 -0.05637 -2.73605e-02 | 99 -0.02317 -6.56425e-01
100  0.09023 -2.25706e+00 |101  0.03217 -1.83439e-01 |102  0.02190  1.85549e+00
103 -0.02721  1.24146e-01 |104 -0.01577  4.83308e-01 |105 -0.00563  4.43977e-02
106 -0.00038  3.15657e-03 |107  0.27122  3.42653e+00 |108  0.18389  5.65010e+00

 - final statistics:
118 variables; iteration 0; function evaluation 0
