
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 7.2873100e+03; maximum gradient component mag -1.1507e+01
 13 -0.01203 -3.35199e-02 | 14 -0.01217 -3.40990e-02 | 15 -0.01229 -3.46786e-02
 16 -0.01240 -3.52548e-02 | 17 -0.01249 -3.58283e-02 | 18 -0.01256 -3.63925e-02
 19 -0.01260 -3.69537e-02 | 20 -0.01262 -3.75010e-02 | 21 -0.01262 -3.80372e-02
 22 -0.01260 -3.85636e-02 | 23 -0.01254 -3.90737e-02 | 24 -0.01246 -3.95676e-02
 25 -0.01235 -4.00512e-02 | 26 -0.01220 -4.05097e-02 | 27 -0.01202 -4.09489e-02
 28 -0.01180 -4.13613e-02 | 29 -0.01154 -4.17455e-02 | 30 -0.01125 -4.20947e-02
 31 -0.01091 -4.24087e-02 | 32 -0.01054 -4.26900e-02 | 33 -0.01013 -4.29254e-02
 34 -0.00970 -4.31181e-02 | 35 -0.00924 -4.32664e-02 | 36 -0.00876 -4.33547e-02
 37 -0.00827 -4.33900e-02 | 38 -0.00779 -4.33586e-02 | 39 -0.00732 -4.32658e-02
 40 -0.00688 -4.31096e-02 | 41 -0.00647 -4.28882e-02 | 42 -0.00610 -4.26198e-02
 43 -0.00578 -4.23035e-02 | 44 -0.00551 -4.19356e-02 | 45 -0.00527 -4.15418e-02
 46 -0.00506 -4.11485e-02 | 47 -0.00484 -4.07457e-02 | 48 -0.00461 -4.03721e-02
 49 -0.00433 -4.00878e-02 | 50 -0.00397 -3.99020e-02 | 51 -0.00351 -3.98361e-02
 52 -0.00290 -3.99929e-02 | 53 -0.00212 -4.03686e-02 | 54 -0.00112 -4.10482e-02
 55  0.00011 -4.20823e-02 | 56  0.00162 -4.35864e-02 | 57  0.00342 -4.56416e-02
 58  0.00553 -4.83259e-02 | 59  0.00797 -5.17965e-02 | 60  0.01071 -5.62084e-02
 61  0.01374 -6.16818e-02 | 62  0.01699 -6.82992e-02 | 63  0.02037 -7.61811e-02
 64  0.02373 -8.53879e-02 | 65  0.02687 -9.59390e-02 | 66  0.02959 -1.07920e-01
 67  0.03167 -1.21276e-01 | 68  0.03301 -1.35834e-01 | 69  0.03358 -1.51515e-01
 70  0.03345 -1.68179e-01 | 71  0.03272 -1.85833e-01 | 72  0.03145 -2.04297e-01
 73  0.02960 -2.23260e-01 | 74  0.02706 -2.42178e-01 | 75  0.02381 -2.60480e-01
 76  0.02000 -2.77865e-01 | 77  0.01603 -2.94605e-01 | 78  0.01241 -3.11576e-01
 79  0.00956 -3.29827e-01 | 80  0.00762 -3.49604e-01 | 81  0.00639 -3.70287e-01
 82  0.00546 -3.90204e-01 | 83  0.00470 -4.08093e-01 | 84  0.00459 -4.24233e-01
 85  0.00524 -4.37372e-01 | 86  0.00547 -4.41170e-01 | 87  0.00715 -4.39327e-01
 88  0.00972 -4.26237e-01 | 89  0.01368 -3.98181e-01 | 90  0.01378 -3.33983e-01
 91  0.01252 -2.36598e-01 | 92  0.01081 -1.04879e-01 | 93  0.00275  6.06206e-02
 94  0.00359  2.64618e-01 | 95  0.02291  5.96247e-01 | 96  0.02135  9.17987e-01
 97 -0.00273  1.05733e+00 | 98  0.01569  1.57121e+00 | 99  0.08358  3.19381e+00
100  0.02809  2.35507e+00 |101 -0.01461  1.78346e+00 |102  0.00420  2.00825e+00
103  0.01928  1.97043e+00 |104  0.03859  1.70259e+00 |105  0.00282  7.00240e-01
106 -0.06247  5.29040e-02 |107 -0.07891 -2.10882e-01 |108 -0.07727 -3.41480e-01
109 -0.03453 -5.02883e-01 |110  0.06981 -1.07805e+00 |111  0.02368 -8.27953e-01
112  0.01382 -1.00641e+00 |113 -0.02791 -8.94453e-01 |114 -0.06711 -7.38058e-01
115 -0.00646 -1.23882e+00 |116  0.00464 -1.21099e+00 |117 -0.02727 -6.53214e-01
118  0.02820 -4.52918e-01 |119  0.07345 -4.60227e-02 |120  0.01038  9.86457e-02
121  0.08254  1.08815e-01 |122  0.00575 -3.23265e-03 |123  0.13288 -8.03792e-02
124 -0.00532 -1.62926e-02 |125 -0.04646  1.32827e-03 |126 -0.05671  4.73104e-03
127 -0.02192  6.55567e-03 |128  0.09420  1.53895e-02 |129  0.03190  8.47449e-03
130  0.01685  6.86280e-03 |131 -0.02798  3.01390e-03 |132 -0.01758  1.47538e-03
133 -0.00588  2.28538e-04 |134 -0.00040  5.06275e-05 |135  0.27670 -5.64754e-01
136  0.18753 -4.08644e-01 |

Initial statistics: 146 variables; iteration 0; function evaluation 0; phase 2
