
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 7.3096801e+03; maximum gradient component mag -2.6498e+02
 16 -0.01185  4.05577e-01 | 17 -0.01177  4.60320e-01 | 18 -0.01165  5.20068e-01
 19 -0.01150  5.85065e-01 | 20 -0.01131  6.55532e-01 | 21 -0.01107  7.31757e-01
 22 -0.01079  8.14049e-01 | 23 -0.01046  9.02754e-01 | 24 -0.01008  9.98198e-01
 25 -0.00965  1.10066e+00 | 26 -0.00916  1.21030e+00 | 27 -0.00861  1.32710e+00
 28 -0.00800  1.45087e+00 | 29 -0.00732  1.58120e+00 | 30 -0.00659  1.71721e+00
 31 -0.00579  1.85840e+00 | 32 -0.00494  2.00343e+00 | 33 -0.00404  2.15070e+00
 34 -0.00311  2.29798e+00 | 35 -0.00214  2.44229e+00 | 36 -0.00118  2.57987e+00
 37 -0.00023  2.70633e+00 | 38  0.00068  2.81653e+00 | 39  0.00152  2.90482e+00
 40  0.00226  2.96504e+00 | 41  0.00287  2.99057e+00 | 42  0.00331  2.97454e+00
 43  0.00357  2.91080e+00 | 44  0.00363  2.79410e+00 | 45  0.00347  2.62036e+00
 46  0.00312  2.38696e+00 | 47  0.00259  2.09233e+00 | 48  0.00190  1.73571e+00
 49  0.00108  1.31851e+00 | 50  0.00017  8.44302e-01 | 51 -0.00076  3.20225e-01
 52 -0.00166 -2.42176e-01 | 53 -0.00241 -8.25193e-01 | 54 -0.00288 -1.40366e+00
 55 -0.00291 -1.94352e+00 | 56 -0.00228 -2.40366e+00 | 57 -0.00072 -2.73542e+00
 58  0.00206 -2.89104e+00 | 59  0.00630 -2.83798e+00 | 60  0.01215 -2.58195e+00
 61  0.01944 -2.19740e+00 | 62  0.02744 -1.85179e+00 | 63  0.03473 -1.79452e+00
 64  0.03917 -2.28563e+00 | 65  0.03863 -3.47943e+00 | 66  0.03233 -5.32814e+00
 67  0.02191 -7.54828e+00 | 68  0.01098 -9.66152e+00 | 69  0.00278 -1.12124e+01
 70 -0.00155 -1.20320e+01 | 71 -0.00226 -1.21606e+01 | 72  0.00042 -1.16319e+01
 73  0.00718 -1.03294e+01 | 74  0.01867 -8.14327e+00 | 75  0.03273 -5.38547e+00
 76  0.04338 -2.87207e+00 | 77  0.04537 -1.39738e+00 | 78  0.03901 -1.24950e+00
 79  0.02841 -2.16851e+00 | 80  0.01719 -3.65685e+00 | 81  0.00741 -5.23990e+00
 82  0.00080 -6.41800e+00 | 83 -0.00156 -6.89384e+00 | 84 -0.00137 -7.07803e+00
 85  0.00064 -7.14164e+00 | 86  0.01002 -5.82347e+00 | 87  0.01705 -5.48861e+00
 88  0.02166 -6.02795e+00 | 89  0.01245 -9.15936e+00 | 90  0.02093 -9.00176e+00
 91  0.01953 -1.01556e+01 | 92  0.00283 -1.33200e+01 | 93 -0.01901 -1.59182e+01
 94 -0.01318 -1.57859e+01 | 95  0.00356 -1.66782e+01 | 96  0.05819 -8.37506e+00
 97 -0.01807 -1.38642e+01 | 98 -0.03165 -1.94557e+01 | 99  0.10867 -1.79721e+01
100 -0.00313 -1.56715e+01 |101 -0.03642 -1.10622e+01 |102  0.01949  1.26194e+00
103  0.02855  4.79248e-01 |104  0.00663 -7.79072e+00 |105  0.00048  9.65128e+00
106 -0.02647  4.22088e+01 |107 -0.03827  5.57610e+01 |108 -0.02265  7.03302e+01
109 -0.03023  3.33001e+01 |110  0.05495  2.49678e+01 |111  0.02577  1.03193e+01
112 -0.00154 -1.11643e+00 |113 -0.04296 -1.60999e+00 |114 -0.06129  6.81084e+00
115  0.00708  1.19806e+01 |116  0.01550  1.42854e+01 |117 -0.00684  5.07537e+00
118  0.01442 -3.01590e+00 |119  0.08067 -8.59860e+00 |120 -0.03105 -1.73462e+01
121  0.07346 -1.69980e+01 |122 -0.01142 -1.07050e+01 |123  0.12703 -5.50877e+00
124 -0.00275  1.60443e+00 |125 -0.03851 -1.06822e+00 |126 -0.05407 -2.27160e+00
127 -0.01328 -4.99578e-01 |128  0.10147  8.10161e+00 |129  0.01310  8.77162e-01
130  0.00135 -1.33711e-01 |131 -0.04848 -3.68366e+00 |132 -0.03291 -3.14520e+00
133 -0.01022 -9.51066e-01 |134  0.00000  4.77991e-09 |135  0.29785 -1.23167e+00
136  0.20150 -2.97891e+01 |

 - final statistics:
136 variables; iteration 38; function evaluation 55
Function value 7.2679e+03; maximum gradient component mag 9.7034e+00
Exit code = 1;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42489 -5.13795e-01 |  2 -0.08851 -2.75227e+00 |  3 -0.01035 -6.30760e-02
